"","County","No. of people age 65y and older, in thousands","Prevalence, % (95%CI)","No. (95%CI) of people with AD, in thousands","Age 85 years or more, %","Women, %","Black or African American, %","Hispanic, %"
"187","Yell County, Arkansas",3.9,"11.1 (10.5, 11.8)","0.4 (0.4, 0.5)",13,54.7,1.9,5.1
"188","Alameda County, California",245.1,"12.1 (11.4, 12.9)","29.7 (27.9, 31.6)",12.8,55.9,11.6,11.3
"189","Alpine County, California",0.3,"8.1 (7.6, 8.7)","0 (0, 0)",5.9,46,1.7,4.5
"190","Amador County, California",11.2,"10 (9.4, 10.6)","1.1 (1.1, 1.2)",10,52.5,0.9,5.9
"191","Butte County, California",39.1,"10.7 (10.1, 11.4)","4.2 (3.9, 4.4)",12.4,54.8,1.1,7.1
"192","Calaveras County, California",13.4,"10 (9.3, 10.6)","1.3 (1.3, 1.4)",9.5,51.7,0.9,7.2
"193","Colusa County, California",3.3,"11.8 (10.7, 12.8)","0.4 (0.4, 0.4)",11.5,51.4,2.3,30.4
"194","Contra Costa County, California",192.7,"11.7 (11, 12.5)","22.6 (21.1, 24)",12.3,55.9,8,12
"195","Del Norte County, California",5.3,"9.9 (9.3, 10.5)","0.5 (0.5, 0.6)",10.5,52.9,1,6.3
"196","El Dorado County, California",43.9,"10 (9.4, 10.6)","4.4 (4.1, 4.7)",10.6,52.1,0.8,5.7
"197","Fresno County, California",128.4,"12.2 (11.2, 13.3)","15.7 (14.3, 17.1)",12.1,55.2,4.1,32.2
"198","Glenn County, California",4.7,"11 (10.2, 11.9)","0.5 (0.5, 0.6)",10.8,51.7,0.9,19
"199","Humboldt County, California",25.8,"9.7 (9.1, 10.2)","2.5 (2.3, 2.6)",10.3,54.3,0.7,3.9
"200","Imperial County, California",24.5,"15 (13.1, 17)","3.7 (3.2, 4.2)",13.4,55.2,1.5,74.7
"201","Inyo County, California",4.4,"11.2 (10.5, 11.9)","0.5 (0.5, 0.5)",13.7,51.7,0.4,8.4
"202","Kern County, California",104.2,"11.4 (10.4, 12.4)","11.9 (10.8, 13)",10,54,4.5,29.5
"203","Kings County, California",16.6,"12.5 (11.3, 13.7)","2.1 (1.9, 2.3)",11.9,53,4,36.3
