"","County","No. of people age 65y and older, in thousands","Prevalence, % (95%CI)","No. (95%CI) of people with AD, in thousands","Age 85 years or more, %","Women, %","Black or African American, %","Hispanic, %"
"204","Lake County, California",15.1,"10.2 (9.5, 10.8)","1.5 (1.4, 1.6)",9.8,51.8,2.2,8.2
"205","Lassen County, California",4.9,"10.1 (9.5, 10.7)","0.5 (0.5, 0.5)",10.9,51.4,1.6,6.2
"206","Los Angeles County, California",1444.5,"13.2 (12.1, 14.3)","190.3 (174.2, 206.3)",13.4,56.4,8.8,30.8
"207","Madera County, California",23.1,"11.4 (10.4, 12.5)","2.6 (2.4, 2.9)",10.5,53,2.7,29
"208","Marin County, California",60.7,"11.1 (10.4, 11.7)","6.7 (6.3, 7.1)",13.2,55.6,1.5,5.1
"209","Mariposa County, California",4.9,"10.4 (9.8, 11)","0.5 (0.5, 0.5)",10.9,50.6,0.9,5.4
"210","Mendocino County, California",20.4,"9.9 (9.3, 10.5)","2 (1.9, 2.2)",10.3,53.7,0.5,7.4
"211","Merced County, California",32.8,"12.3 (11.2, 13.5)","4 (3.7, 4.4)",11.5,54.1,4,37.1
"212","Modoc County, California",2.5,"10.4 (9.8, 11)","0.3 (0.2, 0.3)",10.9,49.5,1.1,5.6
"213","Mono County, California",2.5,"9.3 (8.7, 9.9)","0.2 (0.2, 0.2)",9.3,47.2,0.8,7.4
"214","Monterey County, California",62.6,"12.1 (11.1, 13.1)","7.6 (7, 8.2)",13.5,54.2,2.5,27.1
"215","Napa County, California",27.6,"11.5 (10.7, 12.2)","3.2 (3, 3.4)",13.2,53.8,1.6,12.5
"216","Nevada County, California",28.8,"9.9 (9.3, 10.4)","2.8 (2.7, 3)",10.5,52.8,0.4,3.8
"217","Orange County, California",497.7,"11.6 (10.8, 12.4)","57.8 (53.7, 61.9)",13.1,55.5,1.4,16
"218","Placer County, California",82.1,"11.1 (10.4, 11.7)","9.1 (8.5, 9.6)",12.5,55.6,1.3,7.1
"219","Plumas County, California",5.8,"9.4 (8.9, 10)","0.5 (0.5, 0.6)",8.7,49.8,0.6,4
"220","Riverside County, California",377.6,"12.2 (11.2, 13.1)","46 (42.3, 49.6)",11.9,54.2,5.9,24.7
"221","Sacramento County, California",230.9,"11.5 (10.8, 12.3)","26.6 (24.9, 28.3)",12.1,56.5,8.4,11.3
"222","San Benito County, California",8.7,"12 (10.8, 13.2)","1 (0.9, 1.1)",11.3,53.8,1.2,39.1
"223","San Bernardino County, California",267.9,"12 (10.9, 13.1)","32.2 (29.3, 35.2)",10.4,55.2,8.4,32.9
"224","San Diego County, California",496.4,"11.8 (10.9, 12.6)","58.4 (54.1, 62.7)",13,55.3,3.7,18.1
"225","San Francisco County, California",144.2,"12.4 (11.7, 13.2)","17.9 (16.8, 19)",15.7,54.6,5.6,9.3
"226","San Joaquin County, California",102.4,"11.9 (11, 12.9)","12.2 (11.3, 13.2)",11.9,55.8,6.9,22.3
"227","San Luis Obispo County, California",60.5,"10.6 (9.9, 11.3)","6.4 (6, 6.8)",11.8,53.7,0.8,8.8
"228","San Mateo County, California",129.5,"12 (11.2, 12.8)","15.5 (14.5, 16.6)",14.3,56,2.8,13.1
"229","Santa Barbara County, California",71.4,"12.3 (11.4, 13.3)","8.8 (8.1, 9.5)",14.6,54.8,1.5,21.1
"230","Santa Clara County, California",271.9,"11.9 (11.1, 12.7)","32.3 (30.2, 34.5)",14,55.2,2.1,14
"231","Santa Cruz County, California",48.7,"10.3 (9.5, 11)","5 (4.6, 5.4)",10.7,53.8,0.8,14.3
"232","Shasta County, California",38.1,"10.2 (9.6, 10.8)","3.9 (3.7, 4.1)",10.7,54.3,0.7,4.4
"233","Sierra County, California",0.9,"9.8 (9.2, 10.4)","0.1 (0.1, 0.1)",9.6,50.3,0.2,6.6
"234","Siskiyou County, California",11.6,"9.8 (9.2, 10.4)","1.1 (1.1, 1.2)",9.7,51.6,1.3,5.4
"235","Solano County, California",75.2,"11.7 (11, 12.5)","8.8 (8.2, 9.4)",11.1,55.7,13.4,12.6
"236","Sonoma County, California",103.5,"10.5 (9.8, 11.2)","10.9 (10.2, 11.5)",11.5,55.6,1.1,9
"237","Stanislaus County, California",74.9,"11.6 (10.7, 12.6)","8.7 (8, 9.4)",11.7,55.7,2.5,25.2
"238","Sutter County, California",15.6,"11.7 (10.9, 12.4)","1.8 (1.7, 1.9)",13.2,54.7,2,14.3
"239","Tehama County, California",13.1,"10.8 (10.1, 11.5)","1.4 (1.3, 1.5)",11.4,53.6,0.7,8.7
"240","Trinity County, California",3.6,"9.3 (8.7, 9.8)","0.3 (0.3, 0.4)",8.7,48.6,0.7,3.9
"241","Tulare County, California",55.6,"12.1 (10.9, 13.3)","6.7 (6.1, 7.4)",11.2,54.8,1.3,38.8
"242","Tuolumne County, California",14.9,"10.2 (9.6, 10.8)","1.5 (1.4, 1.6)",10.5,52.2,0.6,5.8
"243","Ventura County, California",140.4,"11.8 (10.9, 12.7)","16.5 (15.2, 17.8)",12.8,54.9,1.7,21.8
"244","Yolo County, California",29.2,"11.5 (10.6, 12.3)","3.4 (3.1, 3.6)",12.5,55.8,2.2,18.2
"245","Yuba County, California",10.6,"10.2 (9.5, 11)","1.1 (1, 1.2)",9.3,52.6,3.4,14.3
"246","Adams County, Colorado",57.4,"10.7 (9.8, 11.6)","6.1 (5.6, 6.6)",9.7,55.1,2.4,23.2
"247","Alamosa County, Colorado",2.4,"11.5 (10.3, 12.6)","0.3 (0.2, 0.3)",10.1,52.8,0.9,36.1
"248","Arapahoe County, Colorado",92,"10.6 (10, 11.3)","9.8 (9.2, 10.4)",10.7,55.8,7.4,7.5
"249","Archuleta County, Colorado",3.9,"8.8 (8.2, 9.4)","0.3 (0.3, 0.4)",7.5,50,0.4,8.6
"250","Baca County, Colorado",0.9,"12.5 (11.8, 13.1)","0.1 (0.1, 0.1)",18,54.7,0.1,4.3
"251","Bent County, Colorado",1.1,"12.2 (11.2, 13.2)","0.1 (0.1, 0.1)",13.7,50.2,1.8,21.6
"252","Boulder County, Colorado",51.1,"10 (9.4, 10.6)","5.1 (4.8, 5.4)",10.9,54.3,0.6,5.6
"253","Broomfield County, Colorado",10.8,"10.3 (9.7, 10.9)","1.1 (1, 1.2)",11.2,56.6,0.9,5.5
"254","Chaffee County, Colorado",5.5,"9.6 (9, 10.1)","0.5 (0.5, 0.6)",9.8,51.4,0.1,4.4
"255","Cheyenne County, Colorado",0.4,"11.5 (10.9, 12.1)","0 (0, 0)",14.9,54.7,0.5,3
"256","Clear Creek County, Colorado",2.1,"8.1 (7.6, 8.6)","0.2 (0.2, 0.2)",6.3,47.1,0.7,3.8
"257","Conejos County, Colorado",1.7,"12.4 (11, 13.9)","0.2 (0.2, 0.2)",9.7,50.5,0.5,52.4
"258","Costilla County, Colorado",1.1,"12.2 (10.7, 13.7)","0.1 (0.1, 0.1)",7.8,48,0.9,52.8
"259","Crowley County, Colorado",0.8,"11.2 (10.4, 12)","0.1 (0.1, 0.1)",12.2,51.2,1.6,18
"260","Custer County, Colorado",1.8,"8.1 (7.6, 8.6)","0.1 (0.1, 0.2)",5.6,47.5,0.7,3.4
"261","Delta County, Colorado",8.5,"10 (9.4, 10.6)","0.9 (0.8, 0.9)",10.2,52.8,0.4,5.7
"262","Denver County, Colorado",89.4,"11.9 (11.1, 12.8)","10.7 (9.9, 11.4)",11.9,55.9,10.5,17.9
"263","Dolores County, Colorado",0.6,"10.2 (9.7, 10.8)","0.1 (0.1, 0.1)",10.7,47,0.4,3.1
"264","Douglas County, Colorado",47.2,"9.5 (8.9, 10)","4.5 (4.2, 4.7)",9.3,53.9,1.1,4.2
"265","Eagle County, Colorado",7.3,"8.2 (7.6, 8.8)","0.6 (0.6, 0.6)",5.8,47.9,0.4,9.5
"266","Elbert County, Colorado",4.9,"8.5 (8, 9)","0.4 (0.4, 0.4)",7,50,1.1,3.7
"267","El Paso County, Colorado",98.7,"10.3 (9.7, 11)","10.2 (9.6, 10.8)",10.2,55.1,4,7.7
"268","Fremont County, Colorado",10.9,"10.1 (9.5, 10.7)","1.1 (1, 1.2)",10.3,51.7,0.5,5.1
"269","Garfield County, Colorado",8.6,"9.2 (8.7, 9.8)","0.8 (0.7, 0.8)",9,51.6,0.4,7.7
"270","Gilpin County, Colorado",1.2,"6.9 (6.4, 7.4)","0.1 (0.1, 0.1)",3.2,48.2,0.6,4.1
"271","Grand County, Colorado",3,"7.8 (7.3, 8.3)","0.2 (0.2, 0.3)",6.4,45.3,0.6,2.9
"272","Gunnison County, Colorado",2.5,"8.2 (7.7, 8.7)","0.2 (0.2, 0.2)",6.4,46.2,0.2,2.6
"273","Hinsdale County, Colorado",0.2,"9 (8.4, 9.5)","0 (0, 0)",8,46.6,0.4,2.8
"274","Huerfano County, Colorado",2.2,"11.2 (10.2, 12.2)","0.3 (0.2, 0.3)",10.8,49,0.7,22.3
"275","Jackson County, Colorado",0.3,"9.7 (9.1, 10.2)","0 (0, 0)",10.7,50.4,0,2
"276","Jefferson County, Colorado",101.1,"10.1 (9.5, 10.8)","10.2 (9.6, 10.9)",10.6,54.7,0.6,7.6
"277","Kiowa County, Colorado",0.3,"12.3 (11.6, 12.9)","0 (0, 0)",17.9,51.9,0.3,3.5
"278","Kit Carson County, Colorado",1.4,"11.6 (11, 12.3)","0.2 (0.2, 0.2)",14.8,51.3,0,5.8
"279","Lake County, Colorado",1.1,"9.4 (8.6, 10.2)","0.1 (0.1, 0.1)",7.3,48.6,0.7,18.3
"280","La Plata County, Colorado",11,"9 (8.5, 9.6)","1 (0.9, 1.1)",8.4,50.7,0.3,6.3
"281","Larimer County, Colorado",60.3,"9.8 (9.3, 10.4)","5.9 (5.6, 6.3)",10.5,54.1,0.4,4.6
"282","Las Animas County, Colorado",3.7,"11.7 (10.6, 12.8)","0.4 (0.4, 0.5)",11.2,51.3,0.4,31.7
"283","Lincoln County, Colorado",1,"11.9 (11.3, 12.6)","0.1 (0.1, 0.1)",16.3,51.5,1.2,3.7
"284","Logan County, Colorado",4.1,"11.6 (11, 12.3)","0.5 (0.5, 0.5)",15.5,54.4,0.8,6.2
"285","Mesa County, Colorado",31.8,"10.4 (9.8, 11)","3.3 (3.1, 3.5)",11.5,54,0.4,6.3
"286","Mineral County, Colorado",0.2,"9.2 (8.7, 9.7)","0 (0, 0)",9.4,48.4,0,1.6
"287","Moffat County, Colorado",2.2,"10.2 (9.5, 10.8)","0.2 (0.2, 0.2)",11.2,50.7,0.4,7.7
"288","Montezuma County, Colorado",6.4,"9.7 (9.1, 10.3)","0.6 (0.6, 0.7)",9.9,51.7,0.2,5.7
"289","Montrose County, Colorado",10.8,"10.6 (10, 11.3)","1.2 (1.1, 1.2)",11.8,53.1,0.3,7.2
"290","Morgan County, Colorado",4.6,"12.1 (11.3, 13)","0.6 (0.5, 0.6)",15.4,54.1,1,14.6
"291","Otero County, Colorado",3.8,"12.4 (11.3, 13.5)","0.5 (0.4, 0.5)",13,53.8,0.8,29.2
"292","Ouray County, Colorado",1.5,"8.1 (7.6, 8.6)","0.1 (0.1, 0.1)",6,48.6,0.1,3.1
"293","Park County, Colorado",4.3,"7.2 (6.7, 7.6)","0.3 (0.3, 0.3)",4,46.5,0.6,3.4
"294","Phillips County, Colorado",1,"13.6 (12.8, 14.3)","0.1 (0.1, 0.1)",21,55.7,0.2,7.3
"295","Pitkin County, Colorado",3.8,"8.9 (8.4, 9.4)","0.3 (0.3, 0.4)",8,47.5,0.2,2.4
"296","Prowers County, Colorado",2.3,"11.4 (10.6, 12.3)","0.3 (0.2, 0.3)",13.3,54.4,0.3,21.2
"297","Pueblo County, Colorado",32.9,"11.9 (10.9, 13)","3.9 (3.6, 4.3)",12.1,54.9,1.4,29.6
"298","Rio Blanco County, Colorado",1.1,"10.4 (9.8, 11)","0.1 (0.1, 0.1)",11.4,48.6,0.6,5.3
"299","Rio Grande County, Colorado",2.5,"11.4 (10.4, 12.5)","0.3 (0.3, 0.3)",11.6,51.5,0.4,29.1
"300","Routt County, Colorado",4.5,"8.2 (7.7, 8.7)","0.4 (0.3, 0.4)",7,48.3,0.4,1.8
"301","Saguache County, Colorado",1.8,"8.9 (8.1, 9.7)","0.2 (0.1, 0.2)",5.9,48.2,0.3,22.2
"302","San Juan County, Colorado",0.2,"9.8 (9.1, 10.4)","0 (0, 0)",10.7,49.2,0.5,6.1
"303","San Miguel County, Colorado",1.3,"7.3 (6.9, 7.8)","0.1 (0.1, 0.1)",4.9,44.3,0.6,3.3
"304","Sedgwick County, Colorado",0.7,"12.1 (11.4, 12.8)","0.1 (0.1, 0.1)",15.9,54.6,0.6,7.7
"305","Summit County, Colorado",4.5,"7.4 (6.9, 7.9)","0.3 (0.3, 0.4)",4.2,47.5,0.5,2.9
"306","Teller County, Colorado",6.2,"7.7 (7.2, 8.1)","0.5 (0.4, 0.5)",5.2,49.6,0.9,2.9
"307","Washington County, Colorado",1,"10.8 (10.2, 11.4)","0.1 (0.1, 0.1)",12.4,50.5,0.3,3.1
"308","Weld County, Colorado",42.5,"10.1 (9.4, 10.9)","4.3 (4, 4.6)",9.7,53.5,0.5,15.1
"309","Yuma County, Colorado",1.9,"11.5 (10.8, 12.1)","0.2 (0.2, 0.2)",14.8,54.4,0.4,5.1
"310","Fairfield County, Connecticut",158,"12.5 (11.7, 13.2)","19.7 (18.5, 20.8)",14.9,56.2,8.5,9.3
"311","Hartford County, Connecticut",158.9,"12.4 (11.7, 13.1)","19.7 (18.6, 20.8)",14.5,57.2,9.5,8.2
"312","Litchfield County, Connecticut",40.9,"10.4 (9.9, 11)","4.3 (4, 4.5)",12.1,53.8,1.1,2
"313","Middlesex County, Connecticut",35.1,"11.1 (10.6, 11.7)","3.9 (3.7, 4.1)",13.9,55.5,3.1,2.2
"314","New Haven County, Connecticut",155.5,"12.1 (11.4, 12.8)","18.8 (17.7, 19.8)",14.1,56.8,8.6,7.1
"315","New London County, Connecticut",51.4,"11 (10.4, 11.6)","5.6 (5.3, 5.9)",12.8,54.4,3.4,3.5
"316","Tolland County, Connecticut",25.4,"10.5 (10, 11.1)","2.7 (2.5, 2.8)",12.1,53.6,1.5,1.7
"317","Windham County, Connecticut",20.8,"10.4 (9.8, 11)","2.2 (2, 2.3)",12,54.9,1.1,4.2
"318","Kent County, Delaware",33,"11.9 (11.3, 12.6)","3.9 (3.7, 4.1)",9.9,55.7,21.5,2.8
"319","New Castle County, Delaware",92.9,"12.3 (11.6, 12.9)","11.4 (10.8, 12)",12.1,56.4,19.7,3.6
"320","Sussex County, Delaware",71.8,"9.8 (9.2, 10.3)","7 (6.6, 7.4)",8.5,53.6,6,1.9
"321","Alachua County, Florida",41.1,"11.6 (11, 12.3)","4.8 (4.5, 5)",11.2,55.7,14.8,5.1
"322","Baker County, Florida",4.3,"10.6 (10.1, 11.2)","0.5 (0.4, 0.5)",10.2,54.9,8.5,1.4
"323","Bay County, Florida",32.3,"10.9 (10.3, 11.5)","3.5 (3.3, 3.7)",11.7,53.9,6.8,2.5
"324","Bradford County, Florida",5.2,"11.7 (11.1, 12.3)","0.6 (0.6, 0.6)",12.5,55.4,10.7,1.7
"325","Brevard County, Florida",148.8,"11.8 (11.1, 12.5)","17.6 (16.6, 18.6)",13,54.1,6.8,5.9
"326","Broward County, Florida",343.4,"13.9 (12.9, 14.9)","47.8 (44.4, 51.3)",13.6,55.7,19.8,22.2
"327","Calhoun County, Florida",2.7,"11.7 (11.1, 12.3)","0.3 (0.3, 0.3)",12.2,53.7,8.8,1.9
"328","Charlotte County, Florida",80.3,"11.4 (10.8, 12.1)","9.2 (8.7, 9.7)",13.1,52.1,3.1,3.1
"329","Citrus County, Florida",56.7,"10.9 (10.3, 11.5)","6.2 (5.8, 6.5)",11.5,52.5,1.8,3.2
"330","Clay County, Florida",37,"10.1 (9.5, 10.7)","3.7 (3.5, 4)",9,54.3,6.9,5.2
"331","Collier County, Florida",131.4,"12.4 (11.7, 13.1)","16.3 (15.3, 17.3)",14.6,52.6,2.6,7.9
"332","Columbia County, Florida",14.4,"11.3 (10.7, 11.9)","1.6 (1.5, 1.7)",11.2,53.5,10.8,3.7
"333","DeSoto County, Florida",8.8,"12.1 (11.4, 12.8)","1.1 (1, 1.1)",13.2,50.9,6.7,7.8
"334","Dixie County, Florida",4.2,"10.4 (9.8, 11)","0.4 (0.4, 0.5)",9.8,49.6,3.3,1.9
"335","Duval County, Florida",143.4,"12.1 (11.4, 12.7)","17.3 (16.4, 18.2)",10.6,57.1,22.1,5.4
"336","Escambia County, Florida",56.3,"11.6 (11, 12.2)","6.5 (6.2, 6.9)",11,56.4,16,2.5
"337","Flagler County, Florida",37.6,"11.2 (10.6, 11.9)","4.2 (4, 4.5)",10.4,52.7,8,6.6
"338","Franklin County, Florida",3,"9.5 (9, 10)","0.3 (0.3, 0.3)",7.6,50.2,5.7,1
"339","Gadsden County, Florida",8.8,"14.5 (13.9, 15.2)","1.3 (1.2, 1.3)",10.8,56,45.1,3.9
"340","Gilchrist County, Florida",4,"10.8 (10.3, 11.4)","0.4 (0.4, 0.5)",12.6,55.1,1.8,2.7
"341","Glades County, Florida",4.1,"12.1 (11.5, 12.8)","0.5 (0.5, 0.5)",12.4,49.6,5.4,5.9
"342","Gulf County, Florida",3.5,"10.5 (10, 11.1)","0.4 (0.4, 0.4)",9.8,52.6,8.8,1.3
"343","Hamilton County, Florida",2.7,"12.2 (11.6, 12.8)","0.3 (0.3, 0.3)",10.9,54.1,22.9,3.1
"344","Hardee County, Florida",4.6,"12.2 (11.4, 13)","0.6 (0.5, 0.6)",12.7,50.5,7,15.8
"345","Hendry County, Florida",6,"13 (11.9, 14.2)","0.8 (0.7, 0.9)",12.1,50.6,10.8,31
"346","Hernando County, Florida",54.8,"11.4 (10.7, 12.1)","6.2 (5.8, 6.6)",11.8,53.6,3.3,8.2
"347","Highlands County, Florida",38.9,"12.7 (12, 13.5)","5 (4.7, 5.2)",14.7,53,4.4,8.7
"348","Hillsborough County, Florida",223.2,"12.1 (11.2, 13)","27 (25, 29)",11.1,55.8,11.4,20.1
"349","Holmes County, Florida",4,"10.9 (10.3, 11.5)","0.4 (0.4, 0.5)",11.4,53.9,2.7,2.1
"350","Indian River County, Florida",56.2,"11.8 (11.1, 12.4)","6.6 (6.2, 7)",13.8,53.9,3.6,4.6
"351","Jackson County, Florida",9.6,"12.6 (12, 13.2)","1.2 (1.1, 1.3)",11.9,55.1,19.7,1.4
"352","Jefferson County, Florida",3.6,"12.6 (12, 13.2)","0.4 (0.4, 0.5)",10.9,54.3,25.7,2
"353","Lafayette County, Florida",1.5,"10.5 (10, 11.1)","0.2 (0.1, 0.2)",10.8,53.4,2.9,3.9
"354","Lake County, Florida",102.1,"11.5 (10.9, 12.2)","11.8 (11.1, 12.5)",11.9,54,5.6,6.8
"355","Lee County, Florida",233.2,"11.4 (10.8, 12.1)","26.7 (25.1, 28.2)",12.2,52.5,3.4,7
"356","Leon County, Florida",42.6,"11.7 (11.1, 12.3)","5 (4.7, 5.2)",10.4,56.3,20.1,3
"357","Levy County, Florida",10.8,"10.3 (9.7, 10.9)","1.1 (1.1, 1.2)",9,51.6,6.2,3.8
"358","Liberty County, Florida",1.3,"10.7 (10.2, 11.3)","0.1 (0.1, 0.1)",9.4,50.3,9.7,1.9
"359","Madison County, Florida",4,"12.5 (11.9, 13.1)","0.5 (0.5, 0.5)",9.9,53.8,28.3,2.8
"360","Manatee County, Florida",118.2,"11.5 (10.9, 12.1)","13.6 (12.9, 14.3)",13.4,53.8,3.8,4.4
"361","Marion County, Florida",109.4,"11.5 (10.8, 12.2)","12.6 (11.9, 13.3)",11.1,54.1,6.7,6.6
"362","Martin County, Florida",52.6,"12.3 (11.7, 13)","6.5 (6.2, 6.8)",16.1,53.9,2.2,3.6
"363","Miami-Dade County, Florida",459.9,"16.6 (14.6, 18.7)","76.6 (67.3, 85.9)",14.1,58.4,12.8,70.4
"364","Monroe County, Florida",17.5,"10.6 (9.8, 11.4)","1.9 (1.7, 2)",9.8,48.5,2.8,15.6
"365","Nassau County, Florida",21.2,"9.8 (9.3, 10.4)","2.1 (2, 2.2)",9.2,52.5,4.7,1.7
"366","Okaloosa County, Florida",35.1,"10.6 (10.1, 11.2)","3.7 (3.5, 3.9)",10.9,54.2,5.8,3.3
"367","Okeechobee County, Florida",8.7,"11.5 (10.8, 12.2)","1 (0.9, 1.1)",12.6,51.4,3.8,7.7
"368","Orange County, Florida",177.3,"12.7 (11.7, 13.8)","22.6 (20.8, 24.4)",11.1,56.3,16.5,24.8
"369","Osceola County, Florida",52.3,"12.6 (11.4, 13.9)","6.6 (5.9, 7.3)",9.8,55.7,8.9,42.5
"370","Palm Beach County, Florida",374.6,"13.8 (13, 14.6)","51.6 (48.6, 54.6)",17.4,55.6,9.3,10.7
"371","Pasco County, Florida",129.9,"11.3 (10.6, 11.9)","14.6 (13.7, 15.5)",12,54.5,3,7.6
"372","Pinellas County, Florida",253.3,"12 (11.4, 12.7)","30.4 (28.8, 32.1)",14.7,55.4,5.4,4.6
"373","Polk County, Florida",152.5,"11.8 (11, 12.5)","17.9 (16.8, 19.1)",11.3,54.2,9.2,10.3
"374","Putnam County, Florida",17.9,"11 (10.4, 11.6)","2 (1.9, 2.1)",10.5,52.6,9.6,3.8
"375","St. Johns County, Florida",58.5,"10.2 (9.6, 10.8)","6 (5.6, 6.3)",10.3,53.9,3.4,4
"376","St. Lucie County, Florida",84.5,"12.4 (11.6, 13.1)","10.5 (9.8, 11.1)",12.4,53.4,12.6,9.4
"377","Santa Rosa County, Florida",31.2,"9.6 (9.1, 10.1)","3 (2.8, 3.2)",8.6,53.5,3.1,2.5
"378","Sarasota County, Florida",168.2,"12 (11.4, 12.7)","20.2 (19.2, 21.3)",15.2,54.1,1.9,3.3
"379","Seminole County, Florida",77.5,"11.9 (11.1, 12.8)","9.3 (8.6, 9.9)",12.6,57,8.5,14.1
"380","Sumter County, Florida",82.1,"10 (9.4, 10.5)","8.2 (7.8, 8.7)",8.1,52.8,1.7,1.9
"381","Suwannee County, Florida",9.9,"11.6 (10.9, 12.2)","1.1 (1.1, 1.2)",12.2,53.6,7.7,3.8
"382","Taylor County, Florida",4.6,"11.3 (10.7, 11.9)","0.5 (0.5, 0.5)",10.7,53,12.1,1.7
"383","Union County, Florida",2.3,"10.7 (10.1, 11.3)","0.2 (0.2, 0.3)",9.1,47.6,12.4,3
"384","Volusia County, Florida",142.4,"11.4 (10.7, 12.1)","16.3 (15.3, 17.2)",12.2,54.2,5.4,7.6
"385","Wakulla County, Florida",5.6,"9.5 (9, 10)","0.5 (0.5, 0.6)",7.1,51.6,8.1,1.7
"386","Walton County, Florida",15.8,"9.5 (9, 10)","1.5 (1.4, 1.6)",9,52.3,3.1,2.1
"387","Washington County, Florida",4.6,"10.2 (9.6, 10.7)","0.5 (0.4, 0.5)",8.1,53.2,9.2,1.6
"388","Appling County, Georgia",3.4,"11.4 (10.8, 11.9)","0.4 (0.4, 0.4)",10.6,54.8,14.5,2.2
"389","Atkinson County, Georgia",1.2,"11.4 (10.8, 12.1)","0.1 (0.1, 0.1)",7.5,51,19.4,7.1
"390","Bacon County, Georgia",1.9,"10.3 (9.8, 10.9)","0.2 (0.2, 0.2)",7.9,56.6,10.9,2.4
"391","Baker County, Georgia",0.8,"14.8 (14.2, 15.5)","0.1 (0.1, 0.1)",13.5,52.2,43.9,0.9
"392","Baldwin County, Georgia",7.7,"12.7 (12.1, 13.3)","1 (0.9, 1)",9.9,52.7,32.4,1.5
"393","Banks County, Georgia",3.6,"9.4 (8.8, 9.9)","0.3 (0.3, 0.4)",7.9,52.9,2.7,2.2
"394","Barrow County, Georgia",11.1,"10.3 (9.7, 10.9)","1.1 (1.1, 1.2)",8.9,56.6,10,4.5
"395","Bartow County, Georgia",16.1,"10.1 (9.6, 10.7)","1.6 (1.5, 1.7)",9.1,54.9,7.5,2.8
"396","Ben Hill County, Georgia",3,"12.2 (11.6, 12.8)","0.4 (0.4, 0.4)",9.3,59.9,27.9,1.4
"397","Berrien County, Georgia",3.4,"11 (10.4, 11.5)","0.4 (0.4, 0.4)",10.9,55.3,8.4,1.4
"398","Bibb County, Georgia",25.1,"14.3 (13.6, 14.9)","3.6 (3.4, 3.7)",11.8,58.8,42.8,1.3
"399","Bleckley County, Georgia",2.3,"12.7 (12.1, 13.3)","0.3 (0.3, 0.3)",14.8,57,13.6,0.5
"400","Brantley County, Georgia",3.4,"9.9 (9.4, 10.4)","0.3 (0.3, 0.4)",9.6,53.3,3.6,1
"401","Brooks County, Georgia",3.1,"11.8 (11.2, 12.4)","0.4 (0.4, 0.4)",7.9,55.2,28.1,2.3
"402","Bryan County, Georgia",4.5,"10.7 (10.1, 11.2)","0.5 (0.5, 0.5)",10.1,55.3,11.4,2.8
"403","Bulloch County, Georgia",9.7,"11.4 (10.8, 12)","1.1 (1.1, 1.2)",9.3,55.5,21.4,1.6
"404","Burke County, Georgia",3.8,"12.8 (12.2, 13.4)","0.5 (0.5, 0.5)",9.3,56.3,38.8,1.8
"405","Butts County, Georgia",4.1,"11.8 (11.3, 12.4)","0.5 (0.5, 0.5)",10.7,58.6,19.8,1.6
"406","Calhoun County, Georgia",1,"17 (16.3, 17.7)","0.2 (0.2, 0.2)",16,57,51.9,0.3
"407","Camden County, Georgia",8.1,"10.4 (9.8, 10.9)","0.8 (0.8, 0.9)",7.3,52.9,15.5,2.5
"408","Candler County, Georgia",2.1,"11.7 (11.1, 12.3)","0.2 (0.2, 0.3)",10,54.2,22.2,3
"409","Carroll County, Georgia",17.3,"10.8 (10.2, 11.4)","1.9 (1.8, 2)",9.4,56.1,13,1.8
"410","Catoosa County, Georgia",12.6,"10.2 (9.7, 10.8)","1.3 (1.2, 1.4)",10.5,56.8,1.8,1.1
"411","Charlton County, Georgia",2.2,"12.1 (11.5, 12.7)","0.3 (0.2, 0.3)",10.4,52.2,18.3,1.7
"412","Chatham County, Georgia",47.7,"13 (12.4, 13.6)","6.2 (5.9, 6.5)",11.1,56.8,31.1,2.3
"413","Chattahoochee County, Georgia",0.5,"15.1 (14.4, 15.8)","0.1 (0.1, 0.1)",12.5,55.6,37.9,1.9
"414","Chattooga County, Georgia",4.6,"10.9 (10.4, 11.5)","0.5 (0.5, 0.5)",11.1,55.4,8.2,1.3
"415","Cherokee County, Georgia",40.5,"9.4 (8.9, 9.9)","3.8 (3.6, 4)",7.8,55.5,3.7,3.5
"416","Clarke County, Georgia",15.4,"12.1 (11.5, 12.7)","1.9 (1.8, 2)",10.4,58.6,25,3.4
"417","Clay County, Georgia",0.8,"14.3 (13.7, 14.9)","0.1 (0.1, 0.1)",9.9,53.8,44,0.9
"418","Clayton County, Georgia",29.7,"13.4 (12.7, 14.1)","4 (3.8, 4.2)",6.7,57.8,59.9,5.6
"419","Clinch County, Georgia",1.1,"10.9 (10.3, 11.5)","0.1 (0.1, 0.1)",8.1,56.7,18.4,2.4
"420","Cobb County, Georgia",100.7,"11 (10.4, 11.6)","11 (10.4, 11.6)",9.5,56.4,16.5,4.6
"421","Coffee County, Georgia",6.2,"11.5 (10.9, 12.1)","0.7 (0.7, 0.8)",9.4,57.1,20.6,3.1
"422","Colquitt County, Georgia",7.5,"11.9 (11.3, 12.6)","0.9 (0.8, 0.9)",11,57,17.3,5.6
"423","Columbia County, Georgia",23.1,"10.7 (10.1, 11.2)","2.5 (2.3, 2.6)",9.7,54.8,12.9,2.5
"424","Cook County, Georgia",2.9,"12.2 (11.6, 12.8)","0.4 (0.3, 0.4)",10.6,55.3,22,1.7
"425","Coweta County, Georgia",22.4,"10.7 (10.1, 11.3)","2.4 (2.3, 2.5)",8.6,55.2,14.6,3.2
